ScopeType,ScopeValue,Metric,ACO,Dijkstra,Bellman-Ford,A*,Floyd-Warshall
Overall,All,SuccessRate,100,100,100,100,100
Overall,All,AvgTime,0.692703,4.50817e-05,8.3612e-05,4.34869e-05,0.0020523
Overall,All,MedianTime,0.00355422,6.738e-06,1.03905e-05,7.6635e-06,6.4136e-05
Overall,All,OptimalityRate,87,100,100,100,100
Overall,All,AvgRelativeErrorPct,6.18327,0,0,0,0
Overall,All,AvgIterations,42.03,1,4.19,1,1
Size,Small(5-15),SuccessRate,100,100,100,100,100
Size,Small(5-15),AvgTime,0.000605738,3.676e-06,4.87338e-06,3.78709e-06,1.0764e-05
Size,Small(5-15),MedianTime,0.000420601,3.4055e-06,4.918e-06,3.5475e-06,9.6025e-06
Size,Small(5-15),OptimalityRate,78.125,100,100,100,100
Size,Small(5-15),AvgRelativeErrorPct,9.58776,0,0,0,0
Size,Small(5-15),AvgIterations,23.4688,1,3.1875,1,1
Size,Medium(16-50),SuccessRate,100,100,100,100,100
Size,Medium(16-50),AvgTime,0.00714803,7.24086e-06,1.04807e-05,8.67546e-06,7.32999e-05
Size,Medium(16-50),MedianTime,0.00247081,6.032e-06,9.117e-06,6.903e-06,3.71625e-05
Size,Medium(16-50),OptimalityRate,82.1429,100,100,100,100
Size,Medium(16-50),AvgRelativeErrorPct,10.6676,0,0,0,0
Size,Medium(16-50),AvgIterations,22.6429,1,5.32143,1,1
Size,Large(51-100),SuccessRate,100,100,100,100,100
Size,Large(51-100),AvgTime,0.21191,3.36656e-05,5.97646e-05,3.42741e-05,0.000968552
Size,Large(51-100),MedianTime,0.163162,2.49985e-05,3.72225e-05,2.55945e-05,0.000899021
Size,Large(51-100),OptimalityRate,100,100,100,100,100
Size,Large(51-100),AvgRelativeErrorPct,0,0,0,0,0
Size,Large(51-100),AvgIterations,38.9,1,4,1,1
Size,Huge(101+),SuccessRate,100,100,100,100,100
Size,Huge(101+),AvgTime,2.23106,0.000128371,0.000243805,0.000121395,0.00643826
Size,Huge(101+),MedianTime,1.84588,0.000120535,0.000232797,0.000111401,0.00561534
Size,Huge(101+),OptimalityRate,96.6667,100,100,100,100
Size,Huge(101+),AvgRelativeErrorPct,0.427487,0,0,0,0
Size,Huge(101+),AvgIterations,80.9667,1,4.26667,1,1
Density,Sparse,SuccessRate,100,100,100,100,100
Density,Sparse,AvgTime,0.391565,2.2917e-05,6.43243e-05,2.49447e-05,0.00172872
Density,Sparse,MedianTime,0.00117352,5.207e-06,7.718e-06,5.811e-06,2.1955e-05
Density,Sparse,OptimalityRate,86.4865,100,100,100,100
Density,Sparse,AvgRelativeErrorPct,14.0005,0,0,0,0
Density,Sparse,AvgIterations,39.5405,1,5.16216,1,1
Density,Dense,SuccessRate,100,100,100,100,100
Density,Dense,AvgTime,0.869562,5.8099e-05,9.49397e-05,5.43767e-05,0.00224234
Density,Dense,MedianTime,0.0340048,1.5291e-05,1.9168e-05,1.5997e-05,0.000277097
Density,Dense,OptimalityRate,87.3016,100,100,100,100
Density,Dense,AvgRelativeErrorPct,1.59222,0,0,0,0
Density,Dense,AvgIterations,43.4921,1,3.61905,1,1
Family,Random,SuccessRate,100,100,100,100,100
Family,Random,AvgTime,0.961695,6.08866e-05,0.000113499,5.83887e-05,0.00284248
Family,Random,MedianTime,0.110739,1.7059e-05,3.1699e-05,1.97405e-05,0.000719285
Family,Random,OptimalityRate,87.5,100,100,100,100
Family,Random,AvgRelativeErrorPct,1.87896,0,0,0,0
Family,Random,AvgIterations,49.7222,1,3.79167,1,1
Family,Star,SuccessRate,100,100,100,100,100
Family,Star,AvgTime,0.000518908,3.58675e-06,6.20825e-06,3.01575e-06,1.059e-05
Family,Star,MedianTime,0.000452326,3.4105e-06,6.105e-06,2.883e-06,1.2105e-05
Family,Star,OptimalityRate,100,100,100,100,100
Family,Star,AvgRelativeErrorPct,0,0,0,0,0
Family,Star,AvgIterations,23,1,3,1,1
Family,Path,SuccessRate,100,100,100,100,100
Family,Path,AvgTime,0.000755273,4.1045e-06,7.79175e-06,4.33575e-06,1.26777e-05
Family,Path,MedianTime,0.000656682,4.368e-06,5.294e-06,4.345e-06,1.2206e-05
Family,Path,OptimalityRate,100,100,100,100,100
Family,Path,AvgRelativeErrorPct,0,0,0,0,0
Family,Path,AvgIterations,21,1,9,1,1
Family,Grid,SuccessRate,100,100,100,100,100
Family,Grid,AvgTime,0.00126357,4.93919e-06,7.35462e-06,6.29225e-06,2.7699e-05
Family,Grid,MedianTime,0.00099677,5.2295e-06,6.559e-06,5.3165e-06,2.2051e-05
Family,Grid,OptimalityRate,75,100,100,100,100
Family,Grid,AvgRelativeErrorPct,30.1901,0,0,0,0
Family,Grid,AvgIterations,22.4375,1,5.375,1,1
Family,Complete,SuccessRate,100,100,100,100,100
Family,Complete,AvgTime,0.000741113,3.63475e-06,3.90325e-06,3.65575e-06,8.7155e-06
Family,Complete,MedianTime,0.00056379,3.465e-06,3.6305e-06,3.53e-06,7.888e-06
Family,Complete,OptimalityRate,100,100,100,100,100
Family,Complete,AvgRelativeErrorPct,0,0,0,0,0
Family,Complete,AvgIterations,22,1,3,1,1
